SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0639,0.0,0,4178,109990000
S01,P0640,0.0,0,13862,21990000
S01,P0641,0.0,0,4630,18590000
S01,P0642,0.0,0,16707,12990000
S01,P0643,0.0,0,11452,27990000
S01,P0644,0.0,0,5337,48690000
S01,P0645,0.0,0,18383,18940000
S01,P0646,0.0,0,3903,77890000
S01,P0647,0.0,0,5382,40590000
S01,P0648,0.0,0,1391,94990000
S01,P0649,0.0,1,7229,64590000
S01,P0650,0.0,0,8410,57990000
S01,P0651,0.0,0,7301,27999000
S01,P0652,0.0,0,15159,26790000
S01,P0653,0.0,0,25667,24990000
S01,P0654,0.0,0,2791,23990000
S01,P0655,0.0,0,5091,81290000
S01,P0656,0.0,0,6459,21990000
S01,P0657,0.0,0,2227,57990000
S01,P0658,0.0,1,9007,20490000
S01,P0659,0.0,0,894,23290000
S01,P0660,0.0,0,3039,25990000
S01,P0661,0.0,0,3867,28590000
S01,P0662,0.0,0,2878,31390000
S01,P0663,0.0,0,13613,21790000
S01,P0664,0.0,0,721,58990000
S01,P0665,0.0,0,7701,37990000
S01,P0666,0.0,0,3394,120990000
S01,P0667,0.0,0,1012,19490000
S01,P0668,0.0,0,4673,28990000
S01,P0669,0.0,0,8296,59830000
S01,P0670,0.0,0,3901,22990000
S01,P0671,0.0,0,5638,35490000
S01,P0672,0.0,0,46964,42999000
S01,P0673,0.0,0,2264,21590000
S01,P0674,0.0,0,60,25990000
S01,P0675,0.0,0,951,39990000
S01,P0676,0.0,0,272,20690000
S01,P0677,0.0,0,11338,52990000
S01,P0678,0.0,1,46467,14290000
S01,P0679,0.0,0,6532,21990000
S01,P0680,0.0,0,3597,28990000
S01,P0681,0.0,0,3883,53890000
S01,P0682,0.0,0,728,34990000
S01,P0683,0.0,0,725,21890000
S01,P0684,0.0,0,4403,22990000
S01,P0685,0.0,0,4210,68690000
S01,P0686,0.0,0,638,77290000
S01,P0687,0.0,0,63495,23590000
S01,P0688,0.0,0,7346,14990000
S01,P0689,0.0,0,767,37990000
S01,P0690,0.0,0,2833,35990000
S01,P0691,0.0,0,6444,11290000
